Jahr,Kanton,Total,1,2,3,4,5,6+
2016,Uri,13.0,12.4,15.0,13.5,13.0,12.0,8.9
2016,Schwyz,16.5,18.2,16.8,16.7,16.1,16.5,19.1
2016,Obwalden,13.8,13.8,14.3,13.2,14.3,12.9,16.2
2016,Nidwalden,15.0,13.7,15.6,15.3,14.7,14.4,16.3
2016,Glarus,12.3,11.8,12.3,13.6,11.9,10.1,11.7
2016,Zug,19.5,21.4,21.5,20.2,18.9,18.3,19.8
2016,Freiburg,14.1,17.3,15.4,14.5,13.3,13.5,12.0
2016,Solothurn,13.5,14.2,15.1,13.3,13.3,12.2,14.0
2016,Basel-Stadt,17.2,19.5,17.7,16.9,16.8,16.6,17.2
2016,Basel-Landschaft,16.1,13.6,16.7,16.3,16.0,16.4,14.4
2016,Schaffhausen,13.1,14.7,14.5,13.4,12.4,12.2,14.0
2016,Appenzell A.Rh.,13.0,14.5,14.6,12.6,12.9,12.5,12.4
2016,Appenzell I.Rh.,12.6,19.1,15.5,13.2,12.9,9.2,9.5
2016,St.Gallen,13.7,14.4,14.8,14.0,13.5,12.8,12.4
2016,Graubünden,14.7,16.6,17.4,15.3,13.9,12.8,12.3
2016,Aargau,14.8,16.4,16.3,15.1,14.4,13.8,15.0
2016,Thurgau,13.0,14.0,13.9,13.6,12.7,11.9,11.8
2016,Tessin,13.4,11.8,13.2,13.4,13.6,14.1,15.5
2016,Waadt,17.0,21.1,18.4,16.6,16.2,16.3,17.6
2016,Wallis,13.2,16.0,14.3,13.5,12.4,12.0,13.6
2016,Neuenburg,12.0,11.6,12.5,11.7,12.2,11.9,14.4
2016,Genf,18.6,18.6,18.6,18.4,17.9,18.9,22.2
2016,Jura,10.9,8.8,10.4,11.7,10.5,11.0,9.6
2017,Schweiz,15.9,18.2,17.2,16.0,15.2,15.3,16.0
2017,Zürich,18.6,21.8,20.7,18.7,17.5,17.6,18.1
2017,Bern,14.4,16.0,15.2,14.5,14.1,13.6,13.5
2017,Luzern,15.0,18.8,16.8,15.4,14.2,14.1,14.2
2017,Uri,12.9,13.4,13.4,13.1,12.6,12.8,12.8
2017,Schwyz,16.3,17.9,17.8,16.3,16.0,15.3,17.2
2017,Obwalden,13.8,15.9,14.6,14.0,13.6,12.8,12.3
2017,Nidwalden,15.7,14.6,16.6,16.7,15.1,14.9,14.5
2017,Glarus,12.6,12.7,15.2,12.7,12.7,11.5,10.3
2017,Zug,19.5,22.1,21.7,19.5,18.8,18.7,22.5
2017,Freiburg,14.4,18.2,15.7,14.8,13.5,13.5,13.7
2017,Solothurn,13.3,12.9,13.9,13.6,12.9,12.9,13.2
2017,Basel-Stadt,17.2,17.5,18.2,16.8,16.7,17.3,19.1
2017,Basel-Landschaft,16.6,17.0,17.1,16.7,16.2,16.8,18.4
2017,Schaffhausen,13.3,11.7,15.2,13.5,12.8,13.3,13.5
2017,Appenzell A.Rh.,12.7,16.5,15.0,12.8,12.7,11.8,10.8
2017,Appenzell I.Rh.,13.3,15.6,11.2,15.0,13.0,12.6,15.1
2017,St.Gallen,13.8,15.9,15.4,14.4,13.3,12.8,12.3
2017,Graubünden,14.9,18.7,16.4,15.3,14.8,12.2,11.9
2017,Aargau,14.8,16.3,16.0,15.1,14.3,14.2,14.1
2017,Thurgau,13.2,13.8,14.4,13.9,12.8,11.9,11.8
2017,Tessin,13.4,11.7,13.2,13.5,13.5,14.2,16.0
2017,Waadt,17.1,21.3,18.3,17.1,15.9,16.7,17.3
2017,Wallis,13.7,17.4,14.9,13.9,12.6,12.8,14.0
2017,Neuenburg,12.1,11.9,12.6,11.7,12.2,12.7,13.4
2017,Genf,18.7,19.7,18.8,18.5,18.1,18.5,22.6
2017,Jura,11.0,11.8,11.0,11.3,11.3,9.3,9.9
2018,Schweiz,16.2,19.2,17.7,16.3,15.5,15.3,16.3
2018,Zürich,19.1,22.7,21.0,19.1,18.0,18.0,18.9
2018,Bern,14.7,16.3,15.9,14.8,14.1,13.6,14.4
2018,Luzern,15.1,19.1,17.1,15.6,14.4,14.1,13.9
2018,Uri,13.1,15.8,14.6,13.4,12.6,12.4,14.5
2018,Schwyz,16.8,18.3,18.5,16.5,16.5,16.5,17.3
2018,Obwalden,13.7,13.2,15.3,14.2,13.7,12.4,10.4
2018,Nidwalden,15.8,21.2,18.6,15.7,15.4,14.7,15.5
2018,Glarus,12.8,16.8,15.6,13.1,12.5,9.8,12.3
2018,Zug,19.4,21.5,21.5,19.8,18.6,18.8,20.3
2018,Freiburg,14.6,18.0,16.5,14.7,13.8,13.4,12.4
2018,Solothurn,13.5,15.5,14.6,13.3,13.3,12.8,14.5
2018,Basel-Stadt,18.0,20.1,18.8,17.4,17.3,19.3,21.3
2018,Basel-Landschaft,16.8,19.8,17.6,16.9,16.4,15.7,17.6
